date,open,high,low,close,volume
2024-01-02,185.50,186.80,183.88,185.64,58200000
2024-01-03,184.30,184.90,182.68,184.25,52100000
2024-01-04,181.20,182.50,180.78,181.91,48800000
2024-01-05,181.50,182.15,180.95,181.18,45600000
2024-01-08,183.45,185.60,183.20,185.56,52900000
2024-01-09,184.20,185.22,183.30,184.58,46700000
2024-01-10,185.80,186.52,185.15,186.38,49100000
2024-01-11,186.10,186.88,184.15,185.59,53600000
2024-01-12,186.50,187.25,185.82,185.92,47800000
2024-01-16,183.80,185.20,182.95,184.10,51300000
2024-01-17,182.40,183.95,181.62,182.68,49800000
2024-01-18,185.20,186.30,184.28,185.84,51200000
2024-01-19,188.40,189.75,187.86,189.36,60300000
2024-01-22,190.50,191.20,189.56,190.12,58700000
2024-01-23,189.80,190.45,188.92,189.78,49400000
2024-01-24,193.20,194.78,192.35,193.68,62100000
2024-01-25,194.10,195.48,193.62,194.17,59800000
2024-01-26,192.50,193.85,191.95,192.42,51200000
2024-01-29,191.20,191.95,189.82,191.63,48900000
2024-01-30,191.80,192.25,190.52,191.15,46700000
2024-01-31,184.50,186.95,183.85,184.35,75600000
2024-02-01,186.80,187.82,185.35,186.85,52800000
2024-02-02,185.30,186.55,184.20,185.28,52300000
2024-02-05,187.20,188.32,186.15,187.68,48900000
2024-02-06,188.60,189.95,188.20,189.28,47600000
2024-02-07,189.20,190.15,188.45,189.42,49200000
2024-02-08,188.50,189.48,187.92,188.35,46800000
2024-02-09,188.80,189.65,188.02,188.85,48500000
2024-02-12,187.80,189.35,187.55,188.15,45900000
2024-02-13,185.20,186.55,183.95,185.32,54200000
2024-02-14,186.50,187.85,185.92,187.15,46700000
2024-02-15,184.80,185.92,183.65,184.58,49800000
2024-02-16,182.60,184.35,182.12,182.92,52300000
2024-02-20,181.50,182.85,180.28,181.62,50600000
2024-02-21,182.00,182.95,181.15,182.32,45600000
2024-02-22,184.20,185.58,183.85,184.75,51200000
2024-02-23,185.20,186.25,184.42,185.18,48900000
2024-02-26,182.80,183.95,181.85,182.56,47600000
2024-02-27,183.10,184.15,182.65,183.22,45900000
2024-02-28,181.50,182.55,180.85,181.32,49800000
2024-02-29,180.20,181.85,179.65,180.42,52300000
2024-03-01,179.80,180.95,179.12,179.98,48900000
2024-03-04,175.80,177.25,174.92,175.98,67800000
2024-03-05,170.50,173.65,169.32,170.62,74500000
2024-03-06,169.80,171.45,168.92,169.98,62300000
2024-03-07,169.20,170.85,168.55,169.58,56700000
2024-03-08,170.80,172.35,169.85,170.92,59800000
2024-03-11,172.60,173.95,171.85,172.85,51200000
2024-03-12,173.50,174.88,172.82,173.75,52800000
2024-03-13,171.80,172.95,170.85,171.45,49600000
2024-03-14,172.80,174.15,171.62,172.75,48900000
2024-03-15,172.20,173.25,171.38,172.08,56700000
2024-03-18,173.60,174.88,172.95,173.75,51200000
2024-03-19,175.20,176.45,174.85,175.98,53400000
2024-03-20,177.50,178.92,176.92,178.28,56700000
2024-03-21,171.20,172.85,170.25,171.38,68900000
2024-03-22,172.50,173.45,171.82,172.42,49800000
2024-03-25,170.80,171.95,169.95,170.58,51200000
2024-03-26,169.20,170.35,168.65,169.58,48900000
2024-03-27,173.50,174.95,172.92,173.75,56700000
2024-03-28,171.50,172.85,170.92,171.28,49800000
2024-04-01,170.00,171.15,169.35,170.25,48900000
2024-04-02,168.80,169.95,167.85,168.92,53400000
2024-04-03,169.20,170.45,168.85,169.58,49800000
2024-04-04,168.20,169.88,167.15,168.18,56700000
2024-04-05,169.50,170.85,168.92,169.58,48900000
2024-04-08,168.50,169.48,167.85,168.55,46700000
2024-04-09,169.20,170.45,168.12,169.58,47800000
2024-04-10,167.80,168.95,166.85,167.78,52300000
2024-04-11,175.50,176.55,174.85,175.98,61200000
